variant,precision@k,recall@k,map@k,ndcg@k,fitb_acc
clip_only,0.31972789115646216,0.9591836734693877,0.8979591836734694,0.9137493676384864,0.0
+color,0.31972789115646216,0.9591836734693877,0.8979591836734694,0.9137493676384864,0.0
+luminance,0.31972789115646216,0.9591836734693877,0.8962585034013606,0.9124133497449001,0.0
+texture,0.31972789115646216,0.9591836734693877,0.8996598639455782,0.9150853855320725,0.0
+pattern,0.31972789115646216,0.9591836734693877,0.8979591836734694,0.9137493676384864,0.0
+text,0.31972789115646216,0.9591836734693877,0.8979591836734694,0.9137493676384864,0.0
+color+texture,0.31972789115646216,0.9591836734693877,0.9013605442176871,0.9164214034256589,0.0
+color+luminance,0.31972789115646216,0.9591836734693877,0.8996598639455782,0.9150853855320725,0.0
+pattern+luminance,0.31972789115646216,0.9591836734693877,0.8962585034013606,0.9124133497449001,0.0
+text+color,0.31972789115646216,0.9591836734693877,0.8979591836734694,0.9137493676384864,0.0
full_ext,0.31972789115646216,0.9591836734693877,0.8996598639455782,0.9150853855320725,0.0
no_clip_sanity,0.3231292517006798,0.9693877551020408,0.91156462585034,0.926625485058312,0.0
