variant,precision@k,recall@k,map@k,ndcg@k,fitb_acc
clip_only,0.19336734693877516,0.9591836734693877,0.789795918367347,0.8328849392701382,0.0
+color,0.19336734693877516,0.9591836734693877,0.7962585034013606,0.8380475561423812,0.0
+luminance,0.19336734693877516,0.9591836734693877,0.7863945578231292,0.8304549342409842,0.0
+texture,0.19336734693877516,0.9591836734693877,0.7894557823129252,0.8326247383406713,0.0
+pattern,0.19336734693877516,0.9591836734693877,0.789795918367347,0.8328849392701382,0.0
+text,0.19336734693877516,0.9591836734693877,0.789795918367347,0.8328849392701382,0.0
+color+texture,0.19336734693877516,0.9591836734693877,0.8013605442176872,0.8418135790651216,0.0
+color+luminance,0.19540816326530577,0.9693877551020408,0.7926870748299321,0.8377818297134746,0.0
+pattern+luminance,0.19336734693877516,0.9591836734693877,0.7863945578231292,0.8304549342409842,0.0
+text+color,0.19336734693877516,0.9591836734693877,0.7945578231292518,0.8367115382487951,0.0
full_ext,0.19336734693877516,0.9591836734693877,0.791156462585034,0.834281533219641,0.0
no_clip_sanity,0.19540816326530577,0.9693877551020408,0.8061224489795918,0.8480701830729325,0.0
