variant,precision@k,recall@k,map@k,ndcg@k,fitb_acc
clip_only,0.30612244897959145,0.9183673469387755,0.7806122448979592,0.8162006665087518,0.0
+color,0.3095238095238091,0.9285714285714286,0.7891156462585035,0.8253107610058371,0.0
+luminance,0.30612244897959145,0.9183673469387755,0.7772108843537415,0.8137706614795978,0.0
+texture,0.30272108843537376,0.9081632653061225,0.7772108843537415,0.8110986256924253,0.0
+pattern,0.30612244897959145,0.9183673469387755,0.7806122448979592,0.8162006665087518,0.0
+text,0.30612244897959145,0.9183673469387755,0.7806122448979592,0.8162006665087518,0.0
+color+texture,0.3095238095238091,0.9285714285714286,0.79421768707483,0.8290767839285773,0.0
+color+luminance,0.3095238095238091,0.9285714285714286,0.784013605442177,0.821544738083097,0.0
+pattern+luminance,0.30612244897959145,0.9183673469387755,0.7772108843537415,0.8137706614795978,0.0
+text+color,0.3095238095238091,0.9285714285714286,0.7874149659863946,0.8239747431122508,0.0
full_ext,0.3095238095238091,0.9285714285714286,0.784013605442177,0.821544738083097,0.0
no_clip_sanity,0.31632653061224447,0.9489795918367347,0.8010204081632653,0.8392808655612305,0.0
