variant,precision@k,recall@k,map@k,ndcg@k,fitb_acc
clip_only,0.1644193391642369,1.0,0.7595238095238094,0.8192657305102571,0.0
+color,0.1644193391642369,1.0,0.7668367346938775,0.8248936986849571,0.0
+luminance,0.1644193391642369,1.0,0.7595238095238094,0.8192657305102571,0.0
+texture,0.1644193391642369,1.0,0.7595238095238094,0.8192657305102571,0.0
+pattern,0.1644193391642369,1.0,0.7595238095238094,0.8192657305102571,0.0
+text,0.1644193391642369,1.0,0.7595238095238094,0.8192657305102571,0.0
+color+texture,0.1644193391642369,1.0,0.7668367346938775,0.8248936986849571,0.0
+color+luminance,0.1644193391642369,1.0,0.7668367346938775,0.8248936986849571,0.0
+pattern+luminance,0.1644193391642369,1.0,0.7595238095238094,0.8192657305102571,0.0
+text+color,0.1644193391642369,1.0,0.7659863945578231,0.8241863166244816,0.0
full_ext,0.1644193391642369,1.0,0.7659863945578231,0.8241863166244816,0.0
no_clip_sanity,0.1644193391642369,1.0,0.7877551020408163,0.8407257484923102,0.0
