variant,precision@k,recall@k,map@k,ndcg@k,fitb_acc
clip_only,0.1644193391642369,1.0,0.9064625850340137,0.9299394752883164,0.0
+color,0.1644193391642369,1.0,0.9132653061224489,0.9350415161046429,0.0
+luminance,0.1644193391642369,1.0,0.9098639455782314,0.9323694803174704,0.0
+texture,0.1644193391642369,1.0,0.9166666666666667,0.937471521133797,0.0
+pattern,0.1644193391642369,1.0,0.9064625850340137,0.9299394752883164,0.0
+text,0.1644193391642369,1.0,0.9064625850340137,0.9299394752883164,0.0
+color+texture,0.1644193391642369,1.0,0.9183673469387755,0.9388075390273832,0.0
+color+luminance,0.1644193391642369,1.0,0.9200680272108844,0.9399015261629509,0.0
+pattern+luminance,0.1644193391642369,1.0,0.9098639455782314,0.9323694803174704,0.0
+text+color,0.1644193391642369,1.0,0.9132653061224489,0.9350415161046429,0.0
full_ext,0.1644193391642369,1.0,0.9217687074829933,0.941237544056537,0.0
no_clip_sanity,0.1644193391642369,1.0,0.917857142857143,0.9384916136037267,0.0
