variant,precision@k,recall@k,map@k,ndcg@k,fitb_acc
clip_only,0.19336734693877516,0.9591836734693877,0.752721088435374,0.8047266616487051,0.0
+color,0.19336734693877516,0.9591836734693877,0.7600340136054422,0.8103546298234052,0.0
+luminance,0.19336734693877516,0.9591836734693877,0.752721088435374,0.8047266616487051,0.0
+texture,0.19336734693877516,0.9591836734693877,0.752721088435374,0.8047266616487051,0.0
+pattern,0.19336734693877516,0.9591836734693877,0.752721088435374,0.8047266616487051,0.0
+text,0.19336734693877516,0.9591836734693877,0.752721088435374,0.8047266616487051,0.0
+color+texture,0.19336734693877516,0.9591836734693877,0.7600340136054422,0.8103546298234052,0.0
+color+luminance,0.19336734693877516,0.9591836734693877,0.7600340136054422,0.8103546298234052,0.0
+pattern+luminance,0.19336734693877516,0.9591836734693877,0.752721088435374,0.8047266616487051,0.0
+text+color,0.19336734693877516,0.9591836734693877,0.7591836734693876,0.8096472477629296,0.0
full_ext,0.19336734693877516,0.9591836734693877,0.7591836734693876,0.8096472477629296,0.0
no_clip_sanity,0.19336734693877516,0.9591836734693877,0.7809523809523808,0.8261866796307583,0.0
