variant,precision@k,recall@k,map@k,ndcg@k,fitb_acc
clip_only,0.3231292517006798,0.9693877551020408,0.8996598639455783,0.9175153905612267,0.0
+color,0.3231292517006798,0.9693877551020408,0.9064625850340137,0.9226174313775531,0.0
+luminance,0.3231292517006798,0.9693877551020408,0.9030612244897959,0.9199453955903805,0.0
+texture,0.3231292517006798,0.9693877551020408,0.9098639455782314,0.925047436406707,0.0
+pattern,0.3231292517006798,0.9693877551020408,0.8996598639455783,0.9175153905612267,0.0
+text,0.3231292517006798,0.9693877551020408,0.8996598639455783,0.9175153905612267,0.0
+color+texture,0.3231292517006798,0.9693877551020408,0.9115646258503403,0.9263834543002933,0.0
+color+luminance,0.3231292517006798,0.9693877551020408,0.9132653061224489,0.927477441435861,0.0
+pattern+luminance,0.3231292517006798,0.9693877551020408,0.9030612244897959,0.9199453955903805,0.0
+text+color,0.3231292517006798,0.9693877551020408,0.9064625850340137,0.9226174313775531,0.0
full_ext,0.3231292517006798,0.9693877551020408,0.9149659863945578,0.9288134593294473,0.0
no_clip_sanity,0.3265306122448975,0.9795918367346939,0.9132653061224489,0.9301494772230335,0.0
