variant,precision@k,recall@k,map@k,ndcg@k,fitb_acc
clip_only,0.28911564625850306,0.8673469387755102,0.7312925170068028,0.7665162762390727,0.0
+color,0.29591836734693844,0.8877551020408163,0.7431972789115644,0.780486380794466,0.0
+luminance,0.28911564625850306,0.8673469387755102,0.7312925170068028,0.7665162762390727,0.0
+texture,0.28911564625850306,0.8673469387755102,0.7312925170068028,0.7665162762390727,0.0
+pattern,0.28911564625850306,0.8673469387755102,0.7312925170068028,0.7665162762390727,0.0
+text,0.28911564625850306,0.8673469387755102,0.7312925170068028,0.7665162762390727,0.0
+color+texture,0.29591836734693844,0.8877551020408163,0.7431972789115644,0.780486380794466,0.0
+color+luminance,0.29591836734693844,0.8877551020408163,0.7431972789115644,0.780486380794466,0.0
+pattern+luminance,0.28911564625850306,0.8673469387755102,0.7312925170068028,0.7665162762390727,0.0
+text+color,0.29251700680272075,0.8775510204081632,0.7397959183673469,0.7753843399781394,0.0
full_ext,0.29251700680272075,0.8775510204081632,0.7397959183673469,0.7753843399781394,0.0
no_clip_sanity,0.30272108843537376,0.9081632653061225,0.7687074829931972,0.8046605669825123,0.0
