variant,precision@k,recall@k,map@k,ndcg@k,fitb_acc
clip_only,0.1644193391642369,1.0,0.916156462585034,0.9370768494827757,0.0
no_clip_sanity,0.1644193391642369,1.0,0.916156462585034,0.9370768494827757,0.0
+color,0.1644193391642369,1.0,0.916156462585034,0.9370768494827757,0.0
+season,0.1644193391642369,1.0,0.916156462585034,0.9370768494827757,0.0
+style,0.1644193391642369,1.0,0.916156462585034,0.9370768494827757,0.0
+trend,0.1644193391642369,1.0,0.916156462585034,0.9370768494827757,0.0
+color+season,0.1644193391642369,1.0,0.916156462585034,0.9370768494827757,0.0
+color+style,0.1644193391642369,1.0,0.916156462585034,0.9370768494827757,0.0
+season+style,0.1644193391642369,1.0,0.916156462585034,0.9370768494827757,0.0
+color+trend,0.1644193391642369,1.0,0.916156462585034,0.9370768494827757,0.0
+season+trend,0.1644193391642369,1.0,0.916156462585034,0.9370768494827757,0.0
+style+trend,0.1644193391642369,1.0,0.916156462585034,0.9370768494827757,0.0
full,0.1644193391642369,1.0,0.916156462585034,0.9370768494827757,0.0
