anchor_img,pos_img,pos_url,supercat,rank_img_only,rank_with_attrs,delta_rank
dataset_mango/images/f9ba19d85c6b88e033b9e3c4a9708ecf.jpg,dataset_mango/images/753491c6ea646820705e10660361d492.jpg,https://shop.mango.com/fr/fr/p/femme/pulls-et-cardigans/pull/pull-over-laine-col-montant_17006358,hauts_maille,24,32,-8
dataset_mango/images/cbbc4abcdb2fe36bd2f341f13aaac04e.jpg,dataset_mango/images/48148a5e63f2d8ca10b1ea7fcf6d5775.jpg,https://shop.mango.com/fr/fr/p/femme/jean/straight/jean-droit-taille-basse_17046744,bas,9,15,-6
dataset_mango/images/d4d100189437555ecd7d5441442a6a8b.jpg,dataset_mango/images/3f2a250af9aa088ea3d9733eec985830.jpg,https://shop.mango.com/fr/fr/p/femme/pantalon/pantalons-elegants/pantalon-de-tailleur-droit_17016361,chaussures,11,17,-6
dataset_mango/images/e3963808b611f241ea8fdb82bb823c0f.jpg,dataset_mango/images/6a37c94736b22526df7d3b9128128527.jpg,https://shop.mango.com/fr/fr/p/femme/pulls-et-cardigans/pull/pull-over-bi-matiere_17005821,hauts_maille,7,13,-6
dataset_mango/images/b42b89f1c7e67a6aa2ff963d39bc8f5e.jpg,dataset_mango/images/c2edf539cc52f678615073a1e53d4755.jpg,https://shop.mango.com/fr/fr/p/teen/bijoux/boucles-doreilles-goutte_17023812,autres,36,40,-4
