noeud,type,degree_centrality,betweenness_centrality,eigenvector_centrality,score_attribut
Bottega Veneta,brand,0.6000000000000001,0.7000000000000001,0.6934006136939055,0.2279981203007518
Louis Vuitton,brand,0.4,0.4,0.1385481466094557,0.2272556390977444
kyliejenner,macro,0.2,0.0,0.5759333215854507,0.6811337111868915
enhypen,macro,0.4,0.6000000000000001,0.33698775665119113,0.5284541319027916
dualipa,macro,0.2,0.0,0.23335863200372242,0.5366357217631967
cocogauff,macro,0.2,0.0,0.016846656169664166,0.2908333333333333
