query_id,A_map@k,B_map@k,D_map@k,A_ndcg@k,B_ndcg@k,D_ndcg@k,A_precision@k,B_precision@k,D_precision@k,A_recall@k,B_recall@k,D_recall@k
q_haut4052->bas,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_haut4054->bas,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_haut4056->bas,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_haut4058->bas,0.250000,0.250000,0.000000,0.430677,0.430677,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_haut4060->bas,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_haut4062->bas,0.500000,0.500000,0.000000,0.630930,0.630930,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_haut4064->bas,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_haut4066->bas,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_haut4069->bas,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_haut4073->bas,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_haut4077->bas,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_haut4079->bas,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_haut40812->bas,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_haut40852->bas,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_haut4087->bas,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
